Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,3,"275817,0","136375,0","139442,0","158083,7"
2005,2,"279582,3","231616,3","47966,0","156924,7"
2006,2,"350027,7","331976,4","18051,3","184619,0"
2007,2,"474571,1","453639,4","20931,7","221562,6"
2008,2,"458468,7","436656,7","21812,0","224342,2"
2009,2,"500511,2","474838,5","25672,7","242229,4"
2010,2,"514675,7","491621,4","23054,3","257333,7"
2011,2,"526202,8","498129,6","28073,2","266494,2"
2012,2,"535847,5","511062,1","24785,4","271538,9"
2013,2,"623117,0","604037,2","19079,8","334644,2"
2014,2,"714458,6","594152,7","120305,9","362946,7"
2015,2,"687784,5","561113,4","126671,1","357432,6"
2016,2,"666378,7","525543,8","140834,9","356899,2"
2017,2,"704459,9","553570,5","150889,4","401605,1"
2018,2,"686937,0","540062,5","146874,5","418327,5"
2019,2,"858656,6","690403,4","168253,2","521951,4"
2020,2,"915413,1","736811,0","178602,1","537061,3"
