Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,20,"108878,6","47043,6","61835,0","11497,6"
2005,22,"105487,0","53775,7","51711,3","9800,6"
2006,40,"122521,8","63946,2","58575,6","12306,6"
2007,66,"260082,6","209412,7","50669,9","22259,9"
2008,51,"258500,6","74955,1","183545,4","22390,4"
2009,57,"432273,8","181348,9","250924,9","39045,6"
2010,61,"483303,6","198023,4","285280,2","44897,5"
2011,59,"429334,3","69815,7","359518,6","40266,0"
2012,80,"513393,3","201200,3","312192,9","42642,1"
2013,82,"687437,6","294732,5","392705,1","61086,1"
2014,86,"660841,3","296985,7","363855,6","61033,4"
2015,81,"654398,2","254550,7","399847,5","58778,1"
2016,79,"744179,4","307667,2","436512,2","64279,8"
2017,86,"635727,8","241005,9","394722,0","57985,8"
2018,92,"570429,3","219814,3","350615,1","62335,7"
2019,78,"587924,8","203961,0","383963,8","59962,2"
2020,70,"585241,1","182609,5","402631,6","57658,8"
