Rok,Palivové dřevo (prmr s.k.),Brikety a pelety  (tis. tun),Energie v použitém palivu (GJ),Využité teplo (GJ)
2003,6531597,21,46953126,35214844
2004,6723515,25,48393654,36295241
2005,6926721,23,49809319,37356989
2006,7209070,33,51983382,38987536
2007,7448935,56,54085568,40564176
2008,7881822,51,57095564,42821673
2009,8351474,78,60911845,45683883
2010,8582304,113,63180774,47385581
2011,8835934,121,65081961,48811471
2012,9205863,121,67857015,50892761
2013,9562129,148,70619605,52964704
2014,9750498,168,72279617,54209713
2015,9892547,172,73398454,55048841
2016,10023125,203,74394528,55795896
2017,10127329,220,75817912,56863434
2018,10565974,195,78824788,59118591
2019,11356637,209,84439843,63329882
2020,11519845,235,86182159,64636619
