Rok,Těžba celkem (tis. plm b.k.),z toho těžba palivového dříví  (tis. plm b.k.),Rok,Těžba celkem (tis. plm b.k.),z toho těžba palivového dříví  (tis. plm b.k.)
1949,5804,960,1985,13905,900
1950,7449,1193,1986,13156,1040
1951,7761,1454,1987,12891,1116
1952,9378,1560,1988,12632,1047
1953,8792,1439,1989,12303,964
1954,8120,1443,1990,13332,1301
1955,9607,1473,1991,10751,1014
1956,9000,1477,1992,9850,833
1957,8840,1293,1993,10406,694
1958,8537,1170,1994,11950,778
1959,8234,1047,1995,12365,649
1960,8046,902,1996,12584,718
1961,8656,868,1997,13491,610
1962,8734,806,1998,13991,820
1963,8092,843,1999,14203,840
1964,8412,932,2000,14441,940
1965,8243,1007,2001,14374,1010
1966,8353,870,2002,14541,1007
1967,10252,881,2003,15140,1087
1968,8789,898,2004,15601,1190
1969,9062,877,2005,15511,1225
1970,10178,784,2006,17678,1345
1971,10258,912,2007,18508,1770
1972,10425,908,2008,16187,1734
1973,10317,815,2009,15502,1733
1974,11002,752,2010,16736,1965
1975,11400,792,2011,15381,1914
1976,12106,884,2012,15061,2020
1977,11970,847,2013,15331,2182
1978,13004,992,2014,15476,2111
1979,13592,1030,2015,16163,2336
1980,13626,950,2016,17617,2344
1981,13435,922,2017,19387,2376
1982,13169,976,2018,24689,3846
1983,13162,944,2019,30386,5022
1984,13511,852,2020,35754,6717
