Rok,Jehličnaté dříví,Listnaté dříví,Celkem,Celkem prostorové metry
,plm b.k.,plm b.k.,plm b.k.,prmr s.k.
2003,638532,448425,1086957,1953187
2004,700132,489914,1190046,2138171
2005,720120,504868,1224988,2201094
2006,819850,525080,1344930,2409319
2007,1410010,360030,1770040,3088275
2008,1259734,473838,1733572,3054894
2009,1158915,574226,1733141,3079210
2010,1337163,627845,1965008,3485371
2011,1049180,864714,1913894,3457883
2012,1196033,824201,2020234,3627915
2013,1266915,915292,2182207,3925024
2014,1165546,945256,2110802,3811540
2015,1513855,822023,2335878,4162072
2016,1550078,794167,2344245,4169296
2017,1647415,728798,2376213,4207140
2018,3199627,645923,3845550,6675519
2019,4495602,526019,5021621,8637868
2020,6165132,551510,6716642,11515593
