,Produkce,Z toho pelety certifikované ENplus,Dovoz,Vývoz,Změna Dodávka stavu na tuzem. zásob trh,
2003,4,0,0,3,1,
2004,11,0,0,9,2,
2005,16,0,0,12,4,
2006,27,0,0,20,7,
2007,60,0,0,46,14,
2008,135,0,0,112,23,
2009,158,0,4,134,28,
2010,145,12,13,111,50,
2011,148,67,19,111,56,
2012,157,93,18,128,47,
2013,163,124,36,131,68,
2014,199,176,25,138,-26,60
2015,249,233,24,215,9,67
2016,330,311,24,277,15,92
2017,367,350,27,294,-1,99
2018,391,362,27,320,-1,97
2019,400,378,22,293,-13,116
2020,486,450,22,352,-3,153
