,Počet respondentů,Instalovaný elektrický výkon  (kW),Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh)
2003,7,9254,"45527,1","1715,2","43811,9"
2004,17,13485,"66071,2","4269,9","61801,3"
2005,18,16928,"78298,8","5142,7","73156,1"
2006,22,19573,"86895,5","10625,9","76269,6"
2007,25,21684,"97817,8","5528,8","92289,0"
2008,24,23850,"97235,6","8324,8","88910,8"
2009,24,23156,"95837,6","8948,1","86889,4"
2010,23,23778,"97265,3","9214,3","88051,0"
2011,23,24213,"108711,0","8473,2","100237,8"
2012,25,24713,"108992,2","8399,4","100592,8"
2013,24,25083,"111040,8","7920,2","103120,7"
2014,24,25622,"111533,5","8661,3","102872,2"
2015,24,25713,"98807,6","8005,0","90802,6"
2016,24,25923,"94274,8","8656,2","85618,6"
2017,23,25769,"82337,6","8058,2","74279,3"
2018,23,25529,"80555,1","7746,0","72809,2"
2019,23,25354,"78596,8","7986,8","70610,0"
2020,23,25317,"76696,7","7873,2","68823,5"
