,Počet resp.,Instalovaný  tepelný výkon  (kW),Výroba tepla (GJ),Dodávka do vlastního podniku nebo zařízení  vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ)
2003,11,70649,"81167,0","78371,0","2796,0"
2004,13,71227,"74478,1","70909,1","3569,0"
2005,12,67865,"60076,8","55797,8","4279,0"
2006,11,66999,"50500,9","48123,0","2377,9"
2007,11,31625,"53486,1","49494,1","3992,0"
2008,12,9174,"62232,3","58232,3","4000,0"
2009,11,10421,"58679,1","43181,8","15497,3"
2010,11,9462,"62778,5","47901,2","14877,3"
2011,13,6524,"71484,1","67940,1","3544,0"
2012,13,6360,"105033,0","102295,0","2738,0"
2013,13,7332,"85054,8","82401,8","2653,0"
2014,13,6042,"148007,0","117141,0","30866,0"
2015,13,6042,"218717,3","215013,3","3704,0"
2016,13,6522,"278085,1","276313,6","1771,5"
2017,12,5737,"288999,0","285102,0","3897,0"
2018,13,4729,"237271,4","232995,4","4276,0"
2019,15,5058,"216919,4","214393,3","2526,1"
2020,12,5208,"226953,0","223723,2","3229,8"
