FAME,1991,1992,1993,1994,1995,1996,1997,1998
Produkce,-,3400,5600,9200,11800,19300,27600,15700
Dovoz,-,-,-,1600,8400,8700,11400,25800
Vývoz,-,-,-,-,2400,3200,1500,80
Změna stavu zásob,-,-,-,-,-,-,-,-
Tuzemská spotřeba,-,3400,5600,10800,17800,24800,37500,41420
Výrobní kapacita,-,-,-,-,-,-,-,-
FAME,1999,2000,2001,2002,2003,2004,2005,2006
Produkce,30630,67200,71100,104400,113500,85140,126894,110152
Dovoz,20200,3200,2900,40,60,3120,7811,22973
Vývoz,30,72,22400,31300,43500,52414,131536,110926
Změna stavu zásob,-,-,-,-,-,-,-,-1971
Tuzemská spotřeba,50800,70328,51600,73140,70060,35846,3169,20228
Výrobní kapacita,-,-,-,114430,198075,202000,194500,194500
FAME,2007,2008,2009,2010,2011,2012,2013,2014
Produkce,81806,76672,154923,197988,210092,172729,181694,219316
Dovoz,8339,43657,10866,21707,54294,78314,85551,118278
Vývoz,53572,34352,29911,35232,16796,6703,43216,35221
Změna stavu zásob,373,2144,-306,-275,-2374,-2074,4055,-1960
Tuzemská spotřeba,36946,88121,135572,184188,245216,242267,228084,300413
Výrobní kapacita,346000,333000,420000,420000,420000,420000,420000,420000
FAME,2015,2016,2017,2018,2019,2020,2021,2022
Produkce,167645,148832,157429,194278,248418,258647,,
Dovoz,175839,151338,137315,110434,98852,250139,,
Vývoz,67623,40823,18196,74448,106943,141760,,
Změna stavu zásob,1407,-471,-362,-854,-1673,-13516,,
Tuzemská spotřeba,277268,258876,276186,229410,238654,353510,,
Výrobní kapacita,420000,420000,420000,420000,420000,420000,,
