bioethanol,2005,2006,2007,2008,2009,2010,2011,2012
Produkce,-,1790,26509,60236,89625,94523,54412,102195
Dovoz,-,-,-,21317,32939,10361,35696,5184
Vývoz,-,-,17027,31908,50953,36556,7378,16644
Změna stavu zásob,-,-9,-9195,1989,3325,710,-3769,-1144
Tuzemská spotřeba,-,1781,287,51634,74936,69038,78961,89592
Výrobní kapacita,-,-,-,160000,160000,160000,160000,160000
bioethanol,2013,2014,2015,2016,2017,2018,2019,2020
Produkce,104488,104112,99725,110740,86900,54948,65778,48053
Dovoz,1980,37352,37342,30205,44936,44304,70549,61036
Vývoz,17475,22812,31066,52489,30160,3071,18476,13036
Změna stavu zásob,-2561,390,8557,-7474,-596,4754,-3871,-2508
Tuzemská spotřeba,86432,119042,114558,80982,101080,100936,113980,93545
Výrobní kapacita,160000,160000,160000,160000,160000,160000,160000,160000
