bio-ETBE,2005,2006,2007,2008,2009,2010,2011,2012
Produkce,-,-,-,-,-,-,-,-
Dovoz,-,-,-,-,9805,17293,6054,5156
Vývoz,-,-,-,-,-,-,-,-
Změna stavu zásob,-,-,-,-,-,-,-,-
Tuzemská spotřeba,-,-,-,-,9805,17293,6054,5156
Výrobní kapacita,-,-,-,-,-,-,-,-
bio-ETBE,2013,2014,2015,2016,2017,2018,2019,2020
Produkce,-,-,4990,4835,15446,20148,27262,27635
Dovoz,2445,2867,517,-,621,-,-,4454
Vývoz,-,-,-,-,-,-,-,0
Změna stavu zásob,-,-,-,-,-,-,-,0
Tuzemská spotřeba,2445,2867,5507,4835,16067,20148,27262,32089
Výrobní kapacita,-,-,10000,20000,20000,20000,30000,30000
