Roky,Elektrická energie,,,Tepelná energie,,,BRKO
,Hrubá výroba elektřiny (MWh),Vlastní spotřeba  vč. ztrát  (MWh),Dodávka elektřiny (MWh),Hrubá výroba tepla  (GJ),Vlastní spotřeba  vč. ztrát  (GJ),Přímé dodávky  (GJ),Spotřeba  (t)
1989,0,–,–,171019,–,–,26811
1990,0,–,–,210824,–,–,39330
1991,0,–,–,211148,–,–,34626
1992,0,–,–,321077,–,–,49320
1993,0,–,–,454085,–,–,61080
1994,0,–,–,653974,–,–,93855
1995,0,–,–,670960,–,–,97869
1996,0,–,–,738976,–,–,102600
1997,0,–,–,685010,–,–,104476
1998,271,–,–,1069837,–,–,146721
1999,739,–,–,1427117,–,–,170788
2000,7790,–,–,1652798,–,–,200143
2001,8590,–,–,1773359,–,–,229215
2002,9807,–,–,1912771,–,–,241907
2003,9588,–,–,1941500,–,–,241799
2004,10031,6610,3421,1936183,454942,1481242,242592
2005,10612,6787,3826,1860833,417772,1443061,230416
2006,11264,6829,4436,1886642,399394,1487248,232707
2007,11975,6901,5074,1887668,368572,1519096,231905
2008,11684,6337,5348,1848182,372006,1476176,223236
2009,10937,6040,4897,1646018,279820,1366198,214675
2010,35586,14941,20645,1777076,766374,1010702,280494
2011,90190,29322,60868,2074883,731684,1343199,363356
2012,86686,29685,57001,2136901,697607,1439293,374612
2013,83842,28521,55321,2204525,770108,1434417,374705
2014,87946,30065,57881,2284579,780300,1504279,377055
2015,86652,30921,55731,2306933,829544,1477389,370510
2016,98563,34217,64345,2365479,825341,1540138,390345
2017,114317,36212,78106,2420024,846559,1573466,410479
2018,100189,33983,66206,2442111,898746,1543365,390666
2019,104849,32746,72103,2353991,832282,1521709,398672
2020,119378,36374,83004,2444819,791349,1653470,416211
