Roky,1977,1978,1979,1980,1981,1982,1983,1984,1985
Ploché zasklené,–,–,–,–,–,–,–,–,–
Vakuové trubkové,–,–,–,–,–,–,–,–,–
Koncentrační,–,–,–,–,–,–,–,–,–
Celkem,0,104,1931,3880,7130,8691,15849,24891,35451
Roky,1986,1987,1988,1989,1990,1991,1992,1993,1994
Ploché zasklené,–,–,–,–,–,–,–,–,–
Vakuové trubkové,–,–,–,–,–,–,–,–,–
Koncentrační,–,–,–,–,–,–,–,–,–
Celkem,38157,41857,45817,49019,50550,50290,49740,44794,38404
Roky,1995,1996,1997,1998,1999,2000,2001,2002,2003
Ploché zasklené,–,–,–,–,–,–,–,–,52228
Vakuové trubkové,–,–,–,–,–,–,–,–,6000
Koncentrační,–,–,–,–,–,–,–,–,727
Celkem,30625,30843,31179,31271,34413,38977,44311,51470,58955
Roky,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ploché zasklené,60657,73768,90777,109899,135914,175503,248049,290558,322384
Vakuové trubkové,7768,10121,13673,20228,28739,40556,58354,67833,74447
Koncentrační,745,805,805,805,830,830,930,967,967
Celkem,69170,84694,105255,130933,165482,216889,307333,359359,397797
Roky,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ploché zasklené,345777,366036,385804,404874,418940,430086,442423,453703,
Vakuové trubkové,80483,87273,93725,99901,104366,107988,111114,113956,
Koncentrační,967,967,967,967,967,967,967,967,
Celkem,427227,454276,480496,505742,524274,539041,554504,568626,
