,Hrubá výroba elektřiny (MWh),Podíl na elektřině  z OZE (%),Podíl na hrubé výrobě elektřiny (%)
Vodní elektrárny,2143884,"20,72%","2,63%"
MVE < 1 MW,523368,"5,06%","0,64%"
MVE 1 až < 10 MW,655337,"6,33%","0,80%"
VVE ≥ 10 MW,965180,"9,33%","1,19%"
Biomasa celkem,2498965,"24,16%","3,07%"
Palivové dříví,0,"0,00%","0,00%"
Štěpka apod.,1247045,"12,05%","1,53%"
Celulózové výluhy,915413,"8,85%","1,12%"
Neaglom. rostlinné materiály,98977,"0,96%","0,12%"
Pelety a brikety,236273,"2,28%","0,29%"
Ostatní biomasa,0,"0,00%","0,00%"
Kapalná biopaliva,1258,"0,01%","0,00%"
Bioplyn celkem,2596450,"25,10%","3,19%"
Komunální ČOV,94715,"0,92%","0,12%"
Průmyslové ČOV,19547,"0,19%","0,02%"
Bioplynové stanice,2405491,"23,25%","2,95%"
Skládkový plyn,76697,"0,74%","0,09%"
Biologicky rozložitelná část TKO,119378,"1,15%","0,15%"
Větrné elektrárny,699083,"6,76%","0,86%"
Fotovoltaické elektrárny,2287014,"22,11%","2,81%"
Celkem,10344774,100%,"12,70%"
