,Hrubá výroba tepla (GJ),Podíl na teple z OZE (%)
Biomasa celkem,91083077,"83,79%"
Biomasa mimo domácnosti,26446458,"24,33%"
Palivové dřevo,458160,"0,42%"
Štěpka apod.,13320889,"12,25%"
Celulózové výluhy,11010531,"10,13%"
Neaglom. rostlinné materiály,585241,"0,54%"
Brikety a pelety,1069377,"0,98%"
Ostatní biomasa,0,"0,00%"
Kapalná biopaliva,2259,"0,00%"
Biomasa domácnosti,64636619,"59,46%"
Bioplyn celkem,4607317,"4,24%"
Komunální ČOV,529230,"0,49%"
Průmyslové ČOV,226953,"0,21%"
Bioplynové stanice,3782996,"3,48%"
Skládkový plyn,68139,"0,06%"
Biologicky rozložitelná část TKO,2444819,"2,25%"
Tepelná čerp. (teplo prostředí),9786587,"9,00%"
Solární termální systémy,788597,"0,73%"
Celkem,108710397,100%
