,2015,2016,2017,2018,2019,2020
Vodní elektrárny,1794807,2000488,1869465,1628830,2008029,2143884
MVE < 1 MW,445888,482563,511326,388624,461388,523368
MVE 1 až < 10 MW,555909,570537,551153,486505,561637,655337
VVE ≥ 10 MW,793010,947388,806985,753701,985004,965180
Biomasa celkem,2091495,2067745,2213397,2120883,2398734,2498965
Palivové dříví,268,158,56,0,146,0
Štěpka apod.,1064771,1053513,1133382,1098773,1229830,1247045
Celulózové výluhy,687784,666379,704460,686937,858657,915413
Neaglom. rostlinné materiály,100042,106635,96495,97083,94380,98977
Pelety a brikety,236546,237630,274765,234619,214521,236273
Ostatní biomasa,0,0,0,0,0,0
Kapalná biopaliva,2083,3429,4240,3471,1199,1258
Bioplyn celkem,2614065,2589023,2640218,2607206,2528078,2596450
Komunální ČOV,86878,91107,88551,93276,98242,94715
Průmyslové ČOV,16537,17816,23462,22455,21785,19547
Bioplynové stanice,2411843,2385826,2445867,2410919,2329454,2405491
Skládkový plyn,98808,94275,82338,80555,78597,76697
Biologicky rozložitelná část TKO,86652,98563,114317,100189,104849,119378
Větrné elektrárny,572612,496957,591038,609330,700014,699083
Fotovoltaické elektrárny,2263846,2131455,2193368,2358880,2311574,2287014
Celkem,9423476,9384230,9621803,9425318,10051278,10344774
